Model,Term,Coefficient,Interpretation
Additive,m0NESY,0.3328571634985489,↑ (Higher economy → Better placement)
Additive,NiKo,0.36070681456181575,↑ (Higher economy → Better placement)
Additive,kyousuke,0.1723287579119496,↑ (Higher economy → Better placement)
Additive,intercept,-18.822017045697244,
Multiplicative,product,8.361393461652953e-05,
Multiplicative,intercept,-0.5674817478924992,
Full_Interactions,m0NESY,3.107497249176418,↑ (Higher economy → Better placement)
Full_Interactions,NiKo,1.1117212924407653,↑ (Higher economy → Better placement)
Full_Interactions,kyousuke,-3.4945461088253036,↓ (Higher economy → Worse placement)
Full_Interactions,m0NESY*NiKo,0.12701617065323015,↑ (Higher economy → Better placement)
Full_Interactions,m0NESY*kyousuke,0.28889638966892534,↑ (Higher economy → Better placement)
Full_Interactions,NiKo*kyousuke,0.5243611760032976,↑ (Higher economy → Better placement)
Full_Interactions,m0NESY*NiKo*kyousuke,-0.02770006570384883,↓ (Higher economy → Worse placement)
Full_Interactions,intercept,-170.66564484657397,
Simplified_Interactions,m0NESY,11.712840193961867,↑ (Higher economy → Better placement)
Simplified_Interactions,NiKo,15.412928940323647,↑ (Higher economy → Better placement)
Simplified_Interactions,kyousuke,14.435199742048294,↑ (Higher economy → Better placement)
Simplified_Interactions,m0NESY*NiKo*kyousuke,-0.027924489278986924,↓ (Higher economy → Worse placement)
Simplified_Interactions,intercept,-610.6014270049035,
