Model,Term,Coefficient,Interpretation
Additive,NiKo,0.024499322197689615,↑ (Higher economy → Better placement)
Additive,kyousuke,-0.18074369319685135,↓ (Higher economy → Worse placement)
Additive,intercept,3.4721480947073693,
Multiplicative,product,-0.005007638838154777,
Multiplicative,intercept,2.333865952141246,
Full_Interactions,NiKo,-1.3713767244555781,↓ (Higher economy → Worse placement)
Full_Interactions,kyousuke,-1.532462084476115,↓ (Higher economy → Worse placement)
Full_Interactions,NiKo*kyousuke,0.06855845704858703,↑ (Higher economy → Better placement)
Full_Interactions,intercept,30.99074448823713,
Simplified_Interactions,NiKo,-1.3713767244555781,↓ (Higher economy → Worse placement)
Simplified_Interactions,kyousuke,-1.532462084476115,↓ (Higher economy → Worse placement)
Simplified_Interactions,NiKo*kyousuke,0.06855845704858703,↑ (Higher economy → Better placement)
Simplified_Interactions,intercept,30.99074448823713,
