Player,Adv_Kills,Adv_Deaths,Adv_Rounds,Equal_Kills,Equal_Deaths,Equal_Rounds,Disadv_Kills,Disadv_Deaths,Disadv_Rounds,Overall_Kills,Overall_Deaths,Overall_Rounds
910,1401,842,1669,671,639,963,828,1144,1489,2900,2625,4121
mzinho,1269,943,1669,682,674,963,825,1205,1489,2776,2822,4121
Techno,1210,902,1669,591,681,963,722,1202,1489,2523,2785,4121
bLitz,1306,931,1669,632,685,963,794,1209,1489,2732,2825,4121
NiKo,1300,862,1578,812,650,980,790,1066,1411,2902,2578,3969
TeSeS,1092,835,1578,649,673,980,729,1098,1411,2470,2606,3969
kyxsan,1083,879,1578,575,653,980,619,1089,1411,2277,2621,3969
ZywOo,1475,706,1586,893,615,990,924,1008,1354,3292,2329,3930
flameZ,1288,881,1586,684,676,990,762,1085,1354,2734,2642,3930
ropz,1320,762,1586,759,610,990,864,964,1354,2943,2336,3930
apEX,1157,847,1586,520,678,990,587,1070,1354,2264,2595,3930
mezii,1142,773,1586,703,634,990,777,1026,1354,2622,2433,3930
xertioN,1321,932,1613,690,668,937,730,1089,1358,2741,2689,3908
torzsi,1374,706,1613,670,545,937,723,972,1358,2767,2223,3908
Jimpphat,1186,776,1613,611,572,937,727,987,1358,2524,2335,3908
Brollan,1103,912,1613,590,655,937,603,1109,1358,2296,2676,3908
Spinx,1308,839,1582,681,594,922,789,1000,1318,2778,2433,3822
m0NESY,1362,678,1467,757,567,891,858,878,1247,2977,2123,3605
Senzu,1174,782,1459,629,573,825,794,965,1284,2597,2320,3568
MAJ3R,743,679,1311,428,523,764,492,950,1219,1663,2152,3294
Wicadia,1134,764,1311,553,568,764,711,964,1219,2398,2296,3294
jottAAA,1042,680,1311,521,536,764,632,972,1219,2195,2188,3294
woxic,1073,604,1311,553,471,764,673,895,1219,2299,1970,3294
XANTARES,1131,690,1262,513,515,732,717,873,1161,2361,2078,3155
chopper,855,731,1297,405,546,799,485,813,1055,1745,2090,3151
donk,1311,753,1297,752,568,799,895,795,1055,2958,2116,3151
sh1ro,1195,546,1297,648,455,799,647,711,1055,2490,1712,3151
karrigan,729,657,1168,435,546,759,509,954,1140,1673,2157,3067
frozen,984,581,1168,573,481,759,649,870,1140,2206,1932,3067
KSCERATO,995,622,1224,545,451,734,622,811,1097,2162,1884,3055
FalleN,850,657,1224,465,491,734,490,849,1097,1805,1997,3055
yuurih,919,626,1224,501,484,734,622,797,1097,2042,1907,3055
Magisk,805,615,1153,467,498,773,558,833,1125,1830,1946,3051
malbsMd,903,680,1149,579,561,754,577,938,1112,2059,2179,3015
HeavyGod,881,562,1149,541,467,754,668,815,1112,2090,1844,3015
broky,872,492,1049,480,433,679,524,751,1032,1876,1676,2760
huNter-,777,545,1022,499,446,686,491,764,990,1767,1755,2698
w0nderful,790,433,977,474,404,654,561,724,990,1825,1561,2621
iM,849,536,977,486,460,654,560,778,990,1895,1774,2621
Aleksib,598,493,977,361,433,654,429,765,990,1388,1691,2621
b1t,796,511,977,463,440,654,592,757,990,1851,1708,2621
Twistzz,771,473,927,467,415,624,620,775,1019,1858,1663,2570
rain,747,530,961,381,447,612,507,733,921,1635,1710,2494
Graviti,684,483,825,371,451,629,460,801,1012,1515,1735,2466
Ex3rcice,600,445,825,436,437,629,559,800,1012,1595,1682,2466
Lucky,644,427,818,400,421,622,500,789,1002,1544,1637,2442
Maka,629,417,818,445,410,622,552,731,1002,1626,1558,2442
molodoy,851,466,975,455,346,568,497,581,828,1803,1393,2371
YEKINDAR,829,583,975,386,408,568,467,646,828,1682,1637,2371
zont1x,736,479,981,371,380,593,411,542,773,1518,1401,2347
jabbi,611,458,831,406,415,584,479,711,885,1496,1584,2300
Staehr,630,460,831,396,413,584,532,692,885,1558,1565,2300
device,671,412,831,436,381,584,474,667,885,1581,1460,2300
bodyy,601,450,765,370,410,579,497,771,953,1468,1631,2297
dav1deuS,620,500,804,381,363,511,454,738,923,1455,1601,2238
snow,588,459,804,336,357,511,400,728,923,1324,1544,2238
nqz,656,380,804,363,315,511,507,662,923,1526,1357,2238
biguzera,591,452,781,309,329,490,446,703,885,1346,1484,2156
fame,552,365,712,379,378,546,472,708,876,1403,1451,2134
FL1T,617,379,712,371,368,546,468,644,876,1456,1391,2134
EliGE,670,471,805,396,381,528,443,615,761,1509,1467,2094
ztr,509,385,688,250,360,491,324,650,780,1083,1395,1959
Tauson,481,381,688,331,330,491,455,625,780,1267,1336,1959
REZ,607,387,688,366,342,491,434,630,780,1407,1359,1959
