Player,Event,RoundsPlayed,AvgWeaponValue,AvgPercentageOfTeam
1eeR,BLAST.tv_Austin_Major_2025,101,1982.67,17.73
1eeR,overall,101,1982.67,17.73
910, FISSURE_Playground_2,460,3446.41,25.5
910,BLAST.tv_Austin_Major_2025,313,3308.63,24.69
910,BLAST_Bounty_2025_Season_2_Finals,168,3470.54,24.77
910,BLAST_Open_Lisbon_2025,209,3346.17,25.11
910,BLAST_Rivals_2025_Season_2,120,3408.75,25.91
910,ESL_Pro_League_Season_21,305,3359.18,25.03
910,ESL_Pro_League_Season_22,285,3474.56,25.81
910,Esports_World_Cup_2025,233,3336.91,25.31
910,IEM_Chengdu_2025,290,3375.34,26.04
910,IEM_Cologne_2025,180,3225.83,24.34
910,IEM_Dallas_2025,235,3298.94,25.35
910,IEM_Katowice_2025,249,3259.64,24.74
910,IEM_Melbourne_2025,260,3103.85,24.76
910,PGL_Astana_2025,192,3379.69,26.18
910,PGL_Bucharest_2025,252,3196.43,24.68
910,PGL_Cluj-Napoca_2025,227,3453.52,25.64
910,StarLadder_Budapest_Major_2025,143,3262.59,25.02
910,overall,4121,3339.72,25.23
ANa,PGL_Cluj-Napoca_2025,101,2655.45,25.09
ANa,overall,101,2655.45,25.09
AW,StarLadder_Budapest_Major_2025,119,1816.39,15.87
AW,overall,119,1816.39,15.87
AZUWU,ESL_Pro_League_Season_21,188,2094.41,18.56
AZUWU,IEM_Melbourne_2025,107,2319.63,19.56
AZUWU,overall,295,2176.1,18.92
Ag1l,ESL_Pro_League_Season_21,188,2117.55,19.41
Ag1l,IEM_Melbourne_2025,107,2218.69,18.49
Ag1l,PGL_Cluj-Napoca_2025,291,2179.9,18.68
Ag1l,overall,586,2166.98,18.88
Aleksib,BLAST.tv_Austin_Major_2025,216,1977.55,16.55
Aleksib,BLAST_Bounty_2025_Season_1_Finals,142,2189.44,16.69
Aleksib,BLAST_Open_Lisbon_2025,191,1835.86,16.11
Aleksib,ESL_Pro_League_Season_21,242,1925.21,16.82
Aleksib,ESL_Pro_League_Season_22,312,2022.12,16.41
Aleksib,Esports_World_Cup_2025,69,2020.29,16.95
Aleksib,IEM_Chengdu_2025,143,1977.97,16.22
Aleksib,IEM_Cologne_2025,336,2094.64,17.43
Aleksib,IEM_Katowice_2025,198,2026.77,16.64
Aleksib,IEM_Melbourne_2025,251,1953.59,16.95
Aleksib,PGL_Astana_2025,245,2039.39,17.49
Aleksib,StarLadder_Budapest_Major_2025,276,2035.14,16.47
Aleksib,overall,2621,2008.6,16.76
Alkaren, FISSURE_Playground_2,215,3470.7,25.2
Alkaren,Esports_World_Cup_2025,108,3290.74,25.32
Alkaren,IEM_Chengdu_2025,195,3295.13,24.85
Alkaren,overall,518,3367.08,25.09
Anfield Poker,PGL_Cluj-Napoca_2025,24,1564.58,14.63
Anfield Poker,overall,24,1564.58,14.63
Attacker, FISSURE_Playground_2,202,2215.59,19.03
Attacker,BLAST_Rivals_2025_Season_2,121,2003.31,18.81
Attacker,ESL_Pro_League_Season_21,178,2148.6,18.28
Attacker,Esports_World_Cup_2025,102,2079.41,18.85
Attacker,IEM_Chengdu_2025,80,1935.0,19.75
Attacker,overall,683,2107.32,18.85
Ax1Le,BLAST_Bounty_2025_Season_1_Finals,31,1835.48,17.79
Ax1Le,overall,31,1835.48,17.79
BELCHONOKK,StarLadder_Budapest_Major_2025,119,2081.09,18.34
BELCHONOKK,overall,119,2081.09,18.34
Bart4k,BLAST_Open_Lisbon_2025,86,2086.05,20.49
Bart4k,overall,86,2086.05,20.49
Brollan,BLAST.tv_Austin_Major_2025,404,2122.65,17.28
Brollan,BLAST_Bounty_2025_Season_2_Finals,86,2151.74,17.72
Brollan,BLAST_Open_Lisbon_2025,372,2112.63,16.76
Brollan,BLAST_Open_London _2025_Finals,102,2056.86,17.44
Brollan,BLAST_Rivals_2025_Season_1,212,2197.41,17.54
Brollan,ESL_Pro_League_Season_21,393,1980.03,16.76
Brollan,ESL_Pro_League_Season_22,336,2128.42,17.03
Brollan,Esports_World_Cup_2025,122,2033.61,16.85
Brollan,IEM_Chengdu_2025,323,2156.04,16.94
Brollan,IEM_Cologne_2025,363,2130.85,16.97
Brollan,IEM_Dallas_2025,240,2158.54,17.49
