Player,TotalRounds,TotalKills,MeaningfulKills,ExitFrags,MeaningfulRate_%,ExitFragRate_%
KaiR0N-,31,23,22,1,95.65,4.35
try,104,78,75,3,96.15,3.85
naitte,240,148,145,3,97.97,2.03
yAmi,86,50,49,1,98.0,2.0
sausoL,185,122,120,2,98.36,1.64
Flierax,176,124,122,2,98.39,1.61
Liazz,407,213,210,3,98.59,1.41
L1haNg,147,73,72,1,98.63,1.37
deemO,251,147,145,2,98.64,1.36
stanislaw,330,150,148,2,98.67,1.33
Attacker,693,375,371,4,98.93,1.07
kaze,147,95,94,1,98.95,1.05
saffee,855,571,565,6,98.95,1.05
b1st,194,95,94,1,98.95,1.05
Starry,456,292,289,3,98.97,1.03
ICY,1842,1261,1248,13,98.97,1.03
chelo,668,408,404,4,99.02,0.98
reck,362,208,206,2,99.04,0.96
FL1T,2036,1466,1452,14,99.05,0.95
Shr,291,214,212,2,99.07,0.93
hfah,213,113,112,1,99.12,0.88
INS,407,230,228,2,99.13,0.87
hypex,348,234,232,2,99.15,0.85
FL4MUS,1509,951,943,8,99.16,0.84
lampada,197,120,119,1,99.17,0.83
r1nkle,467,376,373,3,99.2,0.8
MartinezSa,185,126,125,1,99.21,0.79
phzy,330,256,254,2,99.22,0.78
kyuubii,613,383,380,3,99.22,0.78
jcobbb,619,396,393,3,99.24,0.76
matios,240,133,132,1,99.25,0.75
Kursy,406,268,266,2,99.25,0.75
Vexite,407,271,269,2,99.26,0.74
sl3nd,1110,684,679,5,99.27,0.73
JDC,613,419,416,3,99.28,0.72
KSCERATO,2617,2074,2060,14,99.32,0.68
SunPayus,1207,878,872,6,99.32,0.68
hades,691,466,463,3,99.36,0.64
kauez,581,318,316,2,99.37,0.63
AZUWU,295,159,158,1,99.37,0.63
nqz,2039,1458,1449,9,99.38,0.62
ropz,3084,2725,2708,17,99.38,0.62
Lucaozy,855,508,505,3,99.41,0.59
brnz4n,635,353,351,2,99.43,0.57
Ag1l,586,360,358,2,99.44,0.56
Aleksib,2289,1240,1233,7,99.44,0.56
acoR,304,179,178,1,99.44,0.56
ksloks,240,181,180,1,99.45,0.55
Twistzz,2196,1659,1650,9,99.46,0.54
MATYS,905,746,742,4,99.46,0.54
huNter-,2244,1675,1666,9,99.46,0.54
zont1x,2110,1520,1512,8,99.47,0.53
molodoy,2066,1721,1712,9,99.48,0.52
jL,1469,1002,997,5,99.5,0.5
w0nderful,2289,1611,1603,8,99.5,0.5
insani,855,597,594,3,99.5,0.5
ultimate,1746,1237,1231,6,99.51,0.49
nilo,579,417,415,2,99.52,0.48
dgt,1175,836,832,4,99.52,0.48
woxic,3102,2311,2300,11,99.52,0.48
HeavyGod,2537,1976,1967,9,99.54,0.46
n1ssim,723,447,445,2,99.55,0.45
Sonic,330,224,223,1,99.55,0.45
Magisk,2775,1844,1836,8,99.57,0.43
torzsi,3069,2620,2609,11,99.58,0.42
MAJ3R,3102,1668,1661,7,99.58,0.42
fame,2036,1419,1413,6,99.58,0.42
mizu,383,240,239,1,99.58,0.42
Spinx,2983,2636,2625,11,99.58,0.42
malbsMd,2537,1972,1964,8,99.59,0.41
Swisher,423,245,244,1,99.59,0.41
electroNic,1620,965,961,4,99.59,0.41
frozen,2634,1986,1978,8,99.6,0.4
nicx,839,503,501,2,99.6,0.4
Tauson,1894,1276,1271,5,99.61,0.39
s1n,423,254,253,1,99.61,0.39
NAF,1746,1050,1046,4,99.62,0.38
Staehr,2204,1576,1570,6,99.62,0.38
Jimpphat,3069,2386,2377,9,99.62,0.38
JT,839,538,536,2,99.63,0.37
PR,1894,1395,1390,5,99.64,0.36
tO0RO,456,279,278,1,99.64,0.36
stavn,1606,1139,1135,4,99.65,0.35
Lake,423,286,285,1,99.65,0.35
xertioN,3069,2584,2575,9,99.65,0.35
REZ,1894,1420,1415,5,99.65,0.35
controlez,410,283,282,1,99.65,0.35
Graviti,2087,1420,1415,5,99.65,0.35
westmelon,456,283,282,1,99.65,0.35
regali,407,297,296,1,99.66,0.34
Lucky,2084,1465,1460,5,99.66,0.34
makazze,842,588,586,2,99.66,0.34
ewjerkz,467,299,298,1,99.67,0.33
910,3444,2814,2805,9,99.68,0.32
Perfecto,554,317,316,1,99.68,0.32
Snax,1673,969,966,3,99.69,0.31
siuhy,1202,672,670,2,99.7,0.3
yuurih,2617,1968,1962,6,99.7,0.3
Alkaren,526,336,335,1,99.7,0.3
broky,2349,1649,1644,5,99.7,0.3
Grim,839,663,661,2,99.7,0.3
tabseN,613,363,362,1,99.72,0.28
ztr,1894,1092,1089,3,99.73,0.27
sh1ro,2708,2336,2330,6,99.74,0.26
Ex3rcice,2087,1521,1517,4,99.74,0.26
Krimbo,613,389,388,1,99.74,0.26
bLitz,3444,2647,2640,7,99.74,0.26
Maka,2084,1549,1545,4,99.74,0.26
jabbi,2204,1512,1508,4,99.74,0.26
device,2204,1590,1586,4,99.75,0.25
m0NESY,3074,2809,2802,7,99.75,0.25
Mercury,693,417,416,1,99.76,0.24
iM,2289,1676,1672,4,99.76,0.24
saadzin,723,438,437,1,99.77,0.23
lux,723,437,436,1,99.77,0.23
