Player,TotalRounds,TotalKills,MeaningfulKills,ExitFrags,MeaningfulRate_%,ExitFragRate_%
ropz,264,174,170,4,97.7011,2.2989
910,120,79,78,1,98.7342,1.2658
Jee,121,86,85,1,98.8372,1.1628
mzinho,120,91,90,1,98.9011,1.0989
nicx,162,96,95,1,98.9583,1.0417
yuurih,285,200,198,2,99.0,1.0
apEX,264,128,127,1,99.2188,0.7812
sh1ro,180,140,139,1,99.2857,0.7143
FalleN,285,155,154,1,99.3548,0.6452
mezii,264,168,167,1,99.4048,0.5952
m0NESY,253,228,227,1,99.5614,0.4386
JamYoung,121,97,97,0,100.0,0.0
chopper,180,87,87,0,100.0,0.0
bLitz,120,70,70,0,100.0,0.0
zweih,180,104,104,0,100.0,0.0
tN1r,69,46,46,0,100.0,0.0
tN1R,111,65,65,0,100.0,0.0
hallzerk,162,101,101,0,100.0,0.0
controlez,120,90,90,0,100.0,0.0
Kvem,162,104,104,0,100.0,0.0
JT,162,101,101,0,100.0,0.0
Grim,162,121,121,0,100.0,0.0
donk,180,154,154,0,100.0,0.0
Attacker,121,55,55,0,100.0,0.0
Mercury,121,84,84,0,100.0,0.0
YEKINDAR,285,228,228,0,100.0,0.0
kyxsan,253,162,162,0,100.0,0.0
ZywOo,264,196,196,0,100.0,0.0
NiKo,253,152,152,0,100.0,0.0
flameZ,264,173,173,0,100.0,0.0
TeSeS,253,146,146,0,100.0,0.0
KSCERATO,285,204,204,0,100.0,0.0
molodoy,285,224,224,0,100.0,0.0
Moseyuh,121,76,76,0,100.0,0.0
snow,209,130,130,0,100.0,0.0
dgt,209,145,145,0,100.0,0.0
nqz,209,147,147,0,100.0,0.0
biguzera,209,153,153,0,100.0,0.0
dav1deuS,209,139,139,0,100.0,0.0
kyousuke,253,189,189,0,100.0,0.0
Techno,120,71,71,0,100.0,0.0
