Player,AWP_Filter,Total_Kills,Higher_Econ_Kills,Equal_Econ_Kills,Lower_Econ_Kills,Total_Deaths,Higher_Econ_Deaths,Equal_Econ_Deaths,Lower_Econ_Deaths,Total_Rounds
1eeR,exclude_awp,36,13,15,8,63,11,30,22,101
1eeR,include_awp,39,13,15,11,70,11,30,29,101
910,exclude_awp,1361,396,702,263,1713,199,755,759,4144
910,include_awp,2861,1698,848,315,2590,764,907,919,4144
@reLazffs,exclude_awp,0,0,0,0,0,0,0,0,3
@reLazffs,include_awp,0,0,0,0,0,0,0,0,3
ANa,exclude_awp,25,3,8,14,51,3,24,24,101
ANa,include_awp,52,27,10,15,80,19,32,29,101
AW,exclude_awp,59,18,32,9,75,7,34,34,119
AW,include_awp,61,18,32,11,84,7,34,43,119
AZUWU,exclude_awp,152,40,85,27,172,19,95,58,295
AZUWU,include_awp,159,40,85,34,187,20,95,72,295
Ag1l,exclude_awp,329,106,181,42,339,50,189,100,586
Ag1l,include_awp,353,111,183,59,381,52,189,140,586
Aleksib,exclude_awp,1262,351,665,246,1468,209,747,512,2622
Aleksib,include_awp,1330,354,665,311,1646,214,747,685,2622
Alkaren,exclude_awp,135,38,64,33,210,16,81,113,526
Alkaren,include_awp,330,209,85,36,337,99,110,128,526
Anfield Poker,exclude_awp,16,8,2,6,14,2,6,6,24
Anfield Poker,include_awp,17,8,2,7,17,2,6,9,24
Attacker,exclude_awp,340,118,171,51,433,52,235,146,693
Attacker,include_awp,358,118,171,69,473,54,235,184,693
Ax1Le,exclude_awp,22,4,14,4,24,1,15,8,31
Ax1Le,include_awp,24,4,14,6,28,1,15,12,31
BELCHONOKK,exclude_awp,64,18,39,7,88,12,53,23,119
BELCHONOKK,include_awp,64,18,39,7,92,12,53,27,119
Bart4k,exclude_awp,42,15,19,8,59,7,33,19,86
Bart4k,include_awp,46,15,19,12,66,7,33,26,86
Brollan,exclude_awp,2140,579,1186,375,2314,340,1237,737,3908
Brollan,include_awp,2234,581,1187,466,2610,348,1237,1025,3908
C4LLM3SU3,exclude_awp,231,56,154,21,291,32,179,80,477
C4LLM3SU3,include_awp,257,67,154,36,338,37,180,121,477
CYPHER,exclude_awp,49,17,28,4,56,9,31,16,84
CYPHER,include_awp,51,17,28,6,67,10,31,26,84
CacaNito,exclude_awp,43,11,26,6,59,3,41,15,84
CacaNito,include_awp,45,11,26,8,67,3,41,23,84
ChildKing,exclude_awp,72,25,35,12,108,15,62,31,147
ChildKing,include_awp,78,25,35,18,117,15,63,39,147
Cxzi,exclude_awp,436,145,215,76,401,62,221,118,697
Cxzi,include_awp,458,146,215,97,486,64,221,201,697
Dawy,exclude_awp,117,33,72,12,112,18,61,33,176
Dawy,include_awp,125,34,72,19,124,18,61,45,176
Demho,exclude_awp,125,45,64,16,129,19,68,42,213
Demho,include_awp,132,46,64,22,140,19,68,53,213
Djoko,exclude_awp,85,21,50,14,107,13,63,31,169
Djoko,include_awp,87,21,50,16,123,13,63,47,169
EVIL J0RDAN,exclude_awp,22,10,10,2,13,1,8,4,24
EVIL J0RDAN,include_awp,24,11,10,3,13,1,8,4,24
EliGE,exclude_awp,1406,424,833,149,1295,188,794,313,2094
