Player,Event,RoundsPlayed,AvgWeaponValue,AvgPercentageOfTeam
Brollan,Starladder_Budapest_Major_2025,66,2035.61,17.21
Brollan,overall,66,2035.61,17.21
Grim,Starladder_Budapest_Major_2025,18,1538.89,16.7
Grim,overall,18,1538.89,16.7
HeavyGod,Starladder_Budapest_Major_2025,62,2104.03,19.6
HeavyGod,overall,62,2104.03,19.6
JT,Starladder_Budapest_Major_2025,18,1830.56,18.84
JT,overall,18,1830.56,18.84
Jimpphat,Starladder_Budapest_Major_2025,66,2167.42,18.55
Jimpphat,overall,66,2167.42,18.55
Kvem,Starladder_Budapest_Major_2025,18,2008.33,23.99
Kvem,overall,18,2008.33,23.99
MATYS,Starladder_Budapest_Major_2025,62,2025.0,18.0
MATYS,overall,62,2025.0,18.0
NiKo,Starladder_Budapest_Major_2025,228,2330.92,20.63
NiKo,overall,228,2330.92,20.63
Spinx,Starladder_Budapest_Major_2025,66,2138.64,18.38
Spinx,overall,66,2138.64,18.38
SunPayus,Starladder_Budapest_Major_2025,62,2734.68,24.24
SunPayus,overall,62,2734.68,24.24
TeSeS,Starladder_Budapest_Major_2025,228,2050.0,17.03
TeSeS,overall,228,2050.0,17.03
VINI,Starladder_Budapest_Major_2025,14,2060.71,21.35
VINI,overall,14,2060.71,21.35
alex666,Starladder_Budapest_Major_2025,23,2171.74,19.26
alex666,overall,23,2171.74,19.26
chelo,Starladder_Budapest_Major_2025,14,1603.57,13.87
chelo,overall,14,1603.57,13.87
chopper,Starladder_Budapest_Major_2025,45,2144.44,15.84
chopper,overall,45,2144.44,15.84
donk,Starladder_Budapest_Major_2025,45,2544.44,20.87
donk,overall,45,2544.44,20.87
esenthial,Starladder_Budapest_Major_2025,23,2097.83,17.94
esenthial,overall,23,2097.83,17.94
hallzerk,Starladder_Budapest_Major_2025,18,2427.78,23.75
hallzerk,overall,18,2427.78,23.75
headtr1ck,Starladder_Budapest_Major_2025,23,3084.78,25.74
headtr1ck,overall,23,3084.78,25.74
huNter-,Starladder_Budapest_Major_2025,62,2058.06,18.83
huNter-,overall,62,2058.06,18.83
kensizor,Starladder_Budapest_Major_2025,23,2256.52,19.23
kensizor,overall,23,2256.52,19.23
kyousuke,Starladder_Budapest_Major_2025,228,2371.05,20.79
kyousuke,overall,228,2371.05,20.79
kyxsan,Starladder_Budapest_Major_2025,228,2006.14,16.63
kyxsan,overall,228,2006.14,16.63
m0NESY,Starladder_Budapest_Major_2025,228,3071.49,24.92
m0NESY,overall,228,3071.49,24.92
malbsMd,Starladder_Budapest_Major_2025,62,2063.71,19.33
malbsMd,overall,62,2063.71,19.33
nicx,Starladder_Budapest_Major_2025,18,1661.11,16.71
nicx,overall,18,1661.11,16.71
noway,Starladder_Budapest_Major_2025,14,1853.57,16.31
noway,overall,14,1853.57,16.31
npl,Starladder_Budapest_Major_2025,23,2195.65,17.82
npl,overall,23,2195.65,17.82
sh1ro,Starladder_Budapest_Major_2025,45,3605.56,25.19
sh1ro,overall,45,3605.56,25.19
skullz,Starladder_Budapest_Major_2025,14,1871.43,18.7
skullz,overall,14,1871.43,18.7
tN1R,Starladder_Budapest_Major_2025,45,2325.56,18.78
tN1R,overall,45,2325.56,18.78
torzsi,Starladder_Budapest_Major_2025,66,3109.85,25.95
torzsi,overall,66,3109.85,25.95
try,Starladder_Budapest_Major_2025,14,3146.43,29.77
try,overall,14,3146.43,29.77
xertioN,Starladder_Budapest_Major_2025,66,2236.36,19.91
xertioN,overall,66,2236.36,19.91
zweih,Starladder_Budapest_Major_2025,45,2384.44,19.33
zweih,overall,45,2384.44,19.33
